w,sigma_max_S,sigma_min_S,sigma_max_T,sigma_min_T
3.836718178e+02,1.080781085e+00,1.005030669e+00,8.183028384e-02,5.313554231e-03
3.949037230e+02,1.076836403e+00,1.004753665e+00,7.756124856e-02,5.063417032e-03
4.064644396e+02,1.073023412e+00,1.004487740e+00,7.350318670e-02,4.825891574e-03
4.183635935e+02,1.069342986e+00,1.004232109e+00,6.964767101e-02,4.600241384e-03
4.306110925e+02,1.065795337e+00,1.003986031e+00,6.598643365e-02,4.385772295e-03
4.432171342e+02,1.062380087e+00,1.003748810e+00,6.251138108e-02,4.181830441e-03
4.561922150e+02,1.059096330e+00,1.003519793e+00,5.921460565e-02,3.987800402e-03
4.695471382e+02,1.055942692e+00,1.003298374e+00,5.608839431e-02,3.803103474e-03
4.832930239e+02,1.052917384e+00,1.003083989e+00,5.312523482e-02,3.627196060e-03
4.974413171e+02,1.050018256e+00,1.002876121e+00,5.031781995e-02,3.459568148e-03
5.120037985e+02,1.047242849e+00,1.002674296e+00,4.765905018e-02,3.299741858e-03
5.269925932e+02,1.044588430e+00,1.002478086e+00,4.514203555e-02,3.147270026e-03
5.424201814e+02,1.042052044e+00,1.002287107e+00,4.276009718e-02,3.001734780e-03
5.582994087e+02,1.039630550e+00,1.002101015e+00,4.050676928e-02,2.862746062e-03
5.746434969e+02,1.037320657e+00,1.001919508e+00,3.837580226e-02,2.729940046e-03
5.914660545e+02,1.035118962e+00,1.001742318e+00,3.636116785e-02,2.602977392e-03
6.087810886e+02,1.033021983e+00,1.001569205e+00,3.445706687e-02,2.481541282e-03
6.266030164e+02,1.031026198e+00,1.001399949e+00,3.265794045e-02,2.365335169e-03
